run_id,model,run_dir,epochs,learning_rate,optimizer,weight_decay,scheduler,loss,best_epoch,val_mean_iou,test_mean_iou,test_pixel_accuracy
optuna_all_ep10_unet_resnet34_trial000_ep10_lr2p36886em05_adam_wd0_none,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial000_ep10_lr2p36886em05_adam_wd0_none,10,2.368863950364079e-05,adam,0.0,none,,10,0.345395,,
optuna_all_ep10_unet_resnet34_trial001_ep10_lr1p43217em05_adamw_wd1p09943em06_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial001_ep10_lr1p43217em05_adamw_wd1p09943em06_plateau,10,1.4321698289111523e-05,adamw,1.0994335574766194e-06,plateau,,10,0.315726,,
optuna_all_ep10_unet_resnet34_trial002_ep10_lr9p33061em05_adam_wd0_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial002_ep10_lr9p33061em05_adam_wd0_plateau,10,9.330606024425662e-05,adam,0.0,plateau,,10,0.479525,,
optuna_all_ep10_unet_resnet34_trial003_ep10_lr2p01485em05_adam_wd0_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial003_ep10_lr2p01485em05_adam_wd0_plateau,10,2.0148477884158675e-05,adam,0.0,plateau,,10,0.326024,,
optuna_all_ep10_unet_resnet34_trial004_ep10_lr1p37878em05_adamw_wd2p50812em06_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial004_ep10_lr1p37878em05_adamw_wd2p50812em06_plateau,10,1.378776461935377e-05,adamw,2.5081156860452325e-06,plateau,,10,0.315205,,
optuna_all_ep10_unet_resnet34_trial005_ep10_lr3p26764em05_adam_wd0_none,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial005_ep10_lr3p26764em05_adam_wd0_none,10,3.267641765781762e-05,adam,0.0,none,,10,0.363242,,
optuna_all_ep10_unet_resnet34_trial006_ep10_lr1p16159em05_adamw_wd1p56799em06_none,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial006_ep10_lr1p16159em05_adamw_wd1p56799em06_none,10,1.1615865989246456e-05,adamw,1.5679933916723006e-06,none,,10,0.342649,,
optuna_all_ep10_unet_resnet34_trial007_ep10_lr4p83318em05_adam_wd0_none,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial007_ep10_lr4p83318em05_adam_wd0_none,10,4.833180632488465e-05,adam,0.0,none,,10,0.427868,,
optuna_all_ep10_unet_resnet34_trial008_ep10_lr8p1156em05_adamw_wd1p24em05_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial008_ep10_lr8p1156em05_adamw_wd1p24em05_plateau,10,8.115595675970508e-05,adamw,1.2399967836846103e-05,plateau,,10,0.477207,,
optuna_all_ep10_unet_resnet34_trial009_ep10_lr1p53057em05_adam_wd0_none,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial009_ep10_lr1p53057em05_adam_wd0_none,10,1.5305744365500174e-05,adam,0.0,none,,10,0.316641,,
